_id,slug,title,link,total_price,rent_price,price_per_meter,meter_area,rooms,created_at,Street,City,Province
64533470,3-pokojowe-mieszkanie-66m2-2-balkony-ID4mM6q,3-pokojowe mieszkanie 66m2 + 2 balkony,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-66m2-2-balkony-ID4mM6q,1004300PLN,,15134PLN,66.36,THREE,2023-08-22 11:52:51,ul. Fajansowa,Warszawa,mazowieckie
64533463,4-pokojowe-mieszkanie-73m2-balkon-bezposrednio-ID4mM6j,4-pokojowe mieszkanie 73m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta4-pokojowe-mieszkanie-73m2-balkon-bezposrednio-ID4mM6j,1109400PLN,,15185PLN,73.06,FOUR,2023-08-22 11:52:49,ul. Fajansowa,Warszawa,mazowieckie
64533449,1-pokojowe-mieszkanie-27m2-ogrodek-bez-prowizji-ID4mM65,1-pokojowe mieszkanie 27m2 + ogródek Bez Prowizji,https://www.otodom.pl/pl/oferta1-pokojowe-mieszkanie-27m2-ogrodek-bez-prowizji-ID4mM65,506800PLN,,18653PLN,27.17,ONE,2023-08-22 11:52:44,ul. Fajansowa,Warszawa,mazowieckie
64562565,2-pokojowe-mieszkanie-41m2-balkon-bez-prowizji-ID4mTFH,2-pokojowe mieszkanie 41m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta2-pokojowe-mieszkanie-41m2-balkon-bez-prowizji-ID4mTFH,820800PLN,,20000PLN,41.04,TWO,2023-08-31 10:34:59,ul. Powsińska,Warszawa,mazowieckie
64562555,3-pokojowe-mieszkanie-61m2-balkon-bezposrednio-ID4mTFx,3-pokojowe mieszkanie 61m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-61m2-balkon-bezposrednio-ID4mTFx,1031745PLN,,16900PLN,61.05,THREE,2023-08-31 10:34:56,ul. Powsińska,Warszawa,mazowieckie
64522529,trzy-pokoje-dla-rodziny-z-dziecmi-ID4mJfX,Trzy pokoje dla rodziny z dziećmi.,https://www.otodom.pl/pl/ofertatrzy-pokoje-dla-rodziny-z-dziecmi-ID4mJfX,825000PLN,900PLN,17553PLN,47,THREE,2023-08-18 12:16:44,ul. Przasnyska,Warszawa,mazowieckie
64490074,54-74-m2-designerskie-z-widokiem-na-palac-kultury-ID4mAOu,"54,74 m2 designerskie z widokiem na Pałac Kultury",https://www.otodom.pl/pl/oferta54-74-m2-designerskie-z-widokiem-na-palac-kultury-ID4mAOu,1590000PLN,,29046PLN,54.74,TWO,2023-08-07 12:15:36,,Warszawa,mazowieckie
64544815,lazurova-concept-dwa-tarasy-bez-prowizji-ID4mP3p,Lazurova Concept DWA TARASY BEZ PROWIZJI,https://www.otodom.pl/pl/ofertalazurova-concept-dwa-tarasy-bez-prowizji-ID4mP3p,1363450PLN,980PLN,18500PLN,73.7,FOUR,2023-08-25 11:20:13,,Warszawa,mazowieckie
64525723,sprzedam-mieszkanie-pol-domu-ID4mK5t,sprzedam mieszkanie - pół domu,https://www.otodom.pl/pl/ofertasprzedam-mieszkanie-pol-domu-ID4mK5t,690000PLN,,10615PLN,65,THREE,2023-08-19 12:33:27,,Warszawa,mazowieckie
64562611,3-pokojowe-mieszkanie-62m2-balkon-bezposrednio-ID4mTGr,3-pokojowe mieszkanie 62m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-62m2-balkon-bezposrednio-ID4mTGr,1091728PLN,,17600PLN,62.03,THREE,2023-08-31 10:35:11,ul. Powsińska,Warszawa,mazowieckie
