_id,slug,title,link,total_price,rent_price,price_per_meter,meter_area,rooms,created_at,Street,City,Province
64896557,nowy-penthouse-saska-kepa-wysokosc-w-salonie-6m-ID4oiyF,"Nowy penthouse - Saska Kępa, wysokość w salonie 6m",https://www.otodom.pl/pl/ofertanowy-penthouse-saska-kepa-wysokosc-w-salonie-6m-ID4oiyF,3960000PLN,,26547PLN,149.17,SEVEN,2023-12-11 15:53:27,ul. Międzynarodowa,Warszawa,mazowieckie
64902247,ogrodowa-2-syp-2-laz-ogrodowa-st-2-bd-2-ba-ID4ok2r,"Ogrodowa 2 syp. 2 łaz/ Ogrodowa St. 2 bd, 2 ba",https://www.otodom.pl/pl/ofertaogrodowa-2-syp-2-laz-ogrodowa-st-2-bd-2-ba-ID4ok2r,2500000PLN,,33333PLN,75,THREE,2023-12-13 02:25:03,ul. Ogrodowa,Warszawa,mazowieckie
64899974,3-pokojowe-mieszkanie-58m2-balkon-ID4ojrM,3-pokojowe mieszkanie 58m2 + balkon,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-58m2-balkon-ID4ojrM,,,,58.9,THREE,2023-12-12 14:20:21,ul. Skaryszewska,Warszawa,mazowieckie
64888614,2-pokojowe-mieszkanie-53m2-balkon-bezposrednio-ID4oguy,2-pokojowe mieszkanie 53m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta2-pokojowe-mieszkanie-53m2-balkon-bezposrednio-ID4oguy,931944PLN,,17400PLN,53.56,TWO,2023-12-08 10:37:43,ul. Śródziemnomorska,Warszawa,mazowieckie
64883830,1-pokojowe-mieszkanie-28m2-balkon-bezposrednio-ID4offo,1-pokojowe mieszkanie 28m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta1-pokojowe-mieszkanie-28m2-balkon-bezposrednio-ID4offo,584600PLN,,20498PLN,28.52,ONE,2023-12-06 21:21:44,Precyzyjna,Warszawa,mazowieckie
64883828,2-pokojowe-mieszkanie-42m2-ogrodek-bez-prowizji-ID4offm,2-pokojowe mieszkanie 42m2 + ogródek Bez Prowizji,https://www.otodom.pl/pl/oferta2-pokojowe-mieszkanie-42m2-ogrodek-bez-prowizji-ID4offm,728300PLN,,17076PLN,42.65,TWO,2023-12-06 21:21:42,Precyzyjna,Warszawa,mazowieckie
64876966,penthouse-w-miasteczku-wilanow-ID4odsG,Penthouse w Miasteczku Wilanów,https://www.otodom.pl/pl/ofertapenthouse-w-miasteczku-wilanow-ID4odsG,5990000PLN,,23536PLN,254.5,FIVE,2023-12-05 12:06:04,ul. Franciszka Klimczaka,Warszawa,mazowieckie
64900457,nova-kuligowska-budynek-2-mieszkanie-p2-77m2-ID4ojzz,Nova Kuligowska_Budynek 2 mieszkanie P2 - 77m2,https://www.otodom.pl/pl/ofertanova-kuligowska-budynek-2-mieszkanie-p2-77m2-ID4ojzz,,,,77.38,FOUR,2023-12-12 15:49:39,ul. Kuligowska,Warszawa,mazowieckie
64879427,90-m2-mieszkanie-w-kamienicy-ID4oe6n,90 M2- mieszkanie w kamienicy,https://www.otodom.pl/pl/oferta90-m2-mieszkanie-w-kamienicy-ID4oe6n,3050000PLN,1000PLN,34155PLN,89.3,THREE,2023-12-05 19:35:40,rynek Rynek Starego Miasta,Warszawa,mazowieckie
64929561,mieszkanie-na-woli-ID4or8Z,Mieszkanie Na Woli,https://www.otodom.pl/pl/ofertamieszkanie-na-woli-ID4or8Z,560000PLN,,18289PLN,30.62,ONE,2023-12-23 11:15:20,"al. Aleja ""Solidarności""",Warszawa,mazowieckie
64866234,2-pokojowe-mieszkanie-41m2-balkon-bezposrednio-ID4oaFA,2-pokojowe mieszkanie 41m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta2-pokojowe-mieszkanie-41m2-balkon-bezposrednio-ID4oaFA,,,,41.22,TWO,2023-12-01 11:41:53,ul. Orzechowa,Warszawa,mazowieckie
64900351,nova-kuligowska-budynek-2-mieszkanie-p1-63m2-ID4ojxR,Nova Kuligowska_Budynek 2 mieszkanie P1 - 63m2,https://www.otodom.pl/pl/ofertanova-kuligowska-budynek-2-mieszkanie-p1-63m2-ID4ojxR,,,,63.63,THREE,2023-12-12 15:26:57,ul. Kuligowska,Warszawa,mazowieckie
64908320,przestronne-nowe-83m2-na-woli-ID4olCo,"Przestronne, nowe 83m2 na Woli",https://www.otodom.pl/pl/ofertaprzestronne-nowe-83m2-na-woli-ID4olCo,1800000PLN,750PLN,21557PLN,83.5,FOUR,2023-12-14 18:45:38,Gumińska,Warszawa,mazowieckie
64900627,nova-kuligowska-budynek-3-mieszkanie-l2-77m2-ID4ojCj,Nova Kuligowska_Budynek 3 mieszkanie L2 - 77m2,https://www.otodom.pl/pl/ofertanova-kuligowska-budynek-3-mieszkanie-l2-77m2-ID4ojCj,,,,77.38,FOUR,2023-12-12 16:15:19,ul. Kuligowska,Warszawa,mazowieckie
64867149,stylowa-inwestycja-w-sercu-brzezin-10min-do-metra-ID4oaUl,Stylowa inwestycja w sercu Brzezin- 10min do metra,https://www.otodom.pl/pl/ofertastylowa-inwestycja-w-sercu-brzezin-10min-do-metra-ID4oaUl,1190000PLN,,9189PLN,129.5,FIVE,2023-12-01 14:03:29,ul. Ojca Aniceta,Warszawa,mazowieckie
64917726,apartament-z-panoramicznym-widokiem-blisko-arkadii-ID4oo46,Apartament Z Panoramicznym Widokiem Blisko Arkadii,https://www.otodom.pl/pl/ofertaapartament-z-panoramicznym-widokiem-blisko-arkadii-ID4oo46,3000000PLN,2500PLN,18727PLN,160.2,THREE,2023-12-19 08:20:18,ul. Zygmunta Słomińskiego,Warszawa,mazowieckie
64889340,apartament-na-sprzedaz-w-scislym-centrum-warszawy-ID4ogGg,Apartament na sprzedaż w ścisłym centrum Warszawy,https://www.otodom.pl/pl/ofertaapartament-na-sprzedaz-w-scislym-centrum-warszawy-ID4ogGg,2700000PLN,1200PLN,26733PLN,101,THREE,2023-12-08 13:06:09,,Warszawa,mazowieckie
64900833,nova-kuligowska-budynek-6-mieszkanie-l2-77m2-ID4ojFD,Nova Kuligowska_Budynek 6 mieszkanie L2 - 77m2,https://www.otodom.pl/pl/ofertanova-kuligowska-budynek-6-mieszkanie-l2-77m2-ID4ojFD,,,,77.38,FOUR,2023-12-12 16:48:29,ul. Kuligowska,Warszawa,mazowieckie
64867129,stylowa-inwestycja-w-sercu-brzezin-10min-do-metra-ID4oaU1,Stylowa inwestycja w sercu Brzezin- 10min do metra,https://www.otodom.pl/pl/ofertastylowa-inwestycja-w-sercu-brzezin-10min-do-metra-ID4oaU1,,,,129.5,FIVE,2023-12-01 14:01:23,ul. Ojca Aniceta,Warszawa,mazowieckie
64888990,bezposrednio-ul-dantego-metro-3-pokoje-ID4ogAC,"BEZPOŚREDNIO ul. Dantego METRO, 3 pokoje",https://www.otodom.pl/pl/ofertabezposrednio-ul-dantego-metro-3-pokoje-ID4ogAC,755000PLN,,13879PLN,54.4,THREE,2023-12-08 11:59:25,ul. Dantego Alighieri,Warszawa,mazowieckie
64867164,stylowa-inwestycja-w-sercu-brzezin-10min-do-metra-ID4oaUA,Stylowa inwestycja w sercu Brzezin- 10min do metra,https://www.otodom.pl/pl/ofertastylowa-inwestycja-w-sercu-brzezin-10min-do-metra-ID4oaUA,1190000PLN,,9189PLN,129.5,FIVE,2023-12-01 14:05:26,ul. Ojca Aniceta,Warszawa,mazowieckie
64932464,warszawa-poznanska-bezposrednio-ID4orTO,"Warszawa, Poznańska, Bezpośrednio",https://www.otodom.pl/pl/ofertawarszawa-poznanska-bezposrednio-ID4orTO,2550000PLN,1000PLN,32484PLN,78.5,FOUR,2023-12-26 22:38:52,,Warszawa,mazowieckie
64867145,stylowa-inwestycja-w-sercu-brzezin-10min-do-metra-ID4oaUh,Stylowa inwestycja w sercu Brzezin- 10min do metra,https://www.otodom.pl/pl/ofertastylowa-inwestycja-w-sercu-brzezin-10min-do-metra-ID4oaUh,,,,129.5,FIVE,2023-12-01 14:02:46,ul. Ojca Aniceta,Warszawa,mazowieckie
64894869,mieszkania-dla-kazdego-zamieszkaj-w-zabkach-ID4oi7r,Mieszkania dla każdego - Zamieszkaj w Ząbkach,https://www.otodom.pl/pl/ofertamieszkania-dla-kazdego-zamieszkaj-w-zabkach-ID4oi7r,810173PLN,,9100PLN,89.03,FOUR,2023-12-11 11:24:39,ul. ks. Sylwestra Zycha,Ząbki,mazowieckie
64899976,1-pokojowe-mieszkanie-25m2-bezposrednio-ID4ojrO,1-pokojowe mieszkanie 25m2 Bezpośrednio,https://www.otodom.pl/pl/oferta1-pokojowe-mieszkanie-25m2-bezposrednio-ID4ojrO,,,,25.62,ONE,2023-12-12 14:20:22,ul. Skaryszewska,Warszawa,mazowieckie
64899963,2-pokojowe-mieszkanie-31m2-bez-posrednikow-ID4ojrB,2-pokojowe mieszkanie 31m2 Bez Pośredników,https://www.otodom.pl/pl/oferta2-pokojowe-mieszkanie-31m2-bez-posrednikow-ID4ojrB,,,,31.69,TWO,2023-12-12 14:20:19,ul. Skaryszewska,Warszawa,mazowieckie
64883869,3-pokojowe-mieszkanie-58m2-balkon-bez-prowizji-ID4ofg1,3-pokojowe mieszkanie 58m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-58m2-balkon-bez-prowizji-ID4ofg1,948600PLN,,16265PLN,58.32,THREE,2023-12-06 21:21:51,Precyzyjna,Warszawa,mazowieckie
64866264,3-pokojowe-mieszkanie-61m2-2-balkony-ID4oaG4,3-pokojowe mieszkanie 61m2 + 2 balkony,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-61m2-2-balkony-ID4oaG4,,,,61,THREE,2023-12-01 11:42:07,ul. Orzechowa,Warszawa,mazowieckie
64933460,wysoki-standard-port-praski-metro-klimatyzacja-ID4os9S,"Wysoki standard, Port Praski, Metro, klimatyzacja!",https://www.otodom.pl/pl/ofertawysoki-standard-port-praski-metro-klimatyzacja-ID4os9S,1696400PLN,650PLN,28998PLN,58.5,TWO,2023-12-27 13:06:32,,Warszawa,mazowieckie
64889742,mieszkanie-2-pokojowe-metro-wierzbno-bezposrednio-ID4ogMK,"Mieszkanie 2-pokojowe metro Wierzbno, bezpośrednio",https://www.otodom.pl/pl/ofertamieszkanie-2-pokojowe-metro-wierzbno-bezposrednio-ID4ogMK,712000PLN,,18836PLN,37.8,TWO,2023-12-08 14:09:14,al. Aleja Niepodległości,Warszawa,mazowieckie
64899957,1-pokojowe-mieszkanie-25m2-balkon-bezposrednio-ID4ojrw,1-pokojowe mieszkanie 25m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta1-pokojowe-mieszkanie-25m2-balkon-bezposrednio-ID4ojrw,,,,25.21,ONE,2023-12-12 14:20:18,ul. Skaryszewska,Warszawa,mazowieckie
64899958,1-pokojowe-mieszkanie-30m2-bez-prowizji-ID4ojrv,1-pokojowe mieszkanie 30m2 Bez Prowizji,https://www.otodom.pl/pl/oferta1-pokojowe-mieszkanie-30m2-bez-prowizji-ID4ojrv,,,,30.36,ONE,2023-12-12 14:20:19,ul. Skaryszewska,Warszawa,mazowieckie
64899989,3-pokojowe-mieszkanie-59m2-bezposrednio-ID4ojs1,3-pokojowe mieszkanie 59m2 Bezpośrednio,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-59m2-bezposrednio-ID4ojs1,,,,59.7,THREE,2023-12-12 14:20:27,ul. Skaryszewska,Warszawa,mazowieckie
64881789,szmaragdowy-dom-apartament-3-93-65m2-ID4oeIt,"SZMARAGDOWY Dom apartament 3 - 93,65m2",https://www.otodom.pl/pl/ofertaszmaragdowy-dom-apartament-3-93-65m2-ID4oeIt,2610000PLN,,27870PLN,93.65,THREE,2023-12-06 13:06:04,ul. Gdańska,Warszawa,mazowieckie
64894836,mieszkanie-89-03-m-zabki-ID4oi6U,"Mieszkanie, 89,03 m², Ząbki",https://www.otodom.pl/pl/ofertamieszkanie-89-03-m-zabki-ID4oi6U,792367PLN,,8900PLN,89.03,FOUR,2023-12-11 11:18:07,ul. ks. Sylwestra Zycha,Ząbki,mazowieckie
64881753,szmaragdowy-dom-apartament-2-85-78m2-ID4oeHT,"SZMARAGDOWY Dom - apartament 2 - 85,78m2",https://www.otodom.pl/pl/ofertaszmaragdowy-dom-apartament-2-85-78m2-ID4oeHT,2390000PLN,,27862PLN,85.78,THREE,2023-12-06 12:59:56,ul. Gdańska,Warszawa,mazowieckie
