_id,slug,title,link,total_price,rent_price,price_per_meter,meter_area,rooms,created_at,Street,City,Province
65060719,2-pokojemetro-natolinwidna-kuchnia2009-rok-ID4oZgr,2 pokoje*Metro Natolin*widna kuchnia*2009 rok,https://www.otodom.pl/pl/oferta2-pokojemetro-natolinwidna-kuchnia2009-rok-ID4oZgr,949000PLN,600PLN,18792PLN,50.5,TWO,2024-02-02 15:41:00,al. Aleja Komisji Edukacji Narodowej,Warszawa,mazowieckie
65160474,okazja-2-pokoje-z-ogrodkiem-ul-kasprzaka-29-ID4ppdo,Okazja !!! 2 pokoje z ogródkiem ul. Kasprzaka 29,https://www.otodom.pl/pl/ofertaokazja-2-pokoje-z-ogrodkiem-ul-kasprzaka-29-ID4ppdo,925000PLN,,24189PLN,38.24,TWO,2024-02-29 10:35:56,,Warszawa,mazowieckie
65069681,apartament-przy-al-przyjaciol-koszykowej-ID4p1AZ,Apartament przy Al.Przyjaciół/Koszykowej,https://www.otodom.pl/pl/ofertaapartament-przy-al-przyjaciol-koszykowej-ID4p1AZ,4515000PLN,1000PLN,35000PLN,129,FOUR,2024-02-05 16:25:34,ul. Koszykowa,Warszawa,mazowieckie
65057924,mieszkanie-na-osiedlu-akacjowa-promocja-ID4oYxm,"Mieszkanie na osiedlu Akacjowa, PROMOCJA!",https://www.otodom.pl/pl/ofertamieszkanie-na-osiedlu-akacjowa-promocja-ID4oYxm,940000PLN,660PLN,8648PLN,108.7,FOUR,2024-02-01 22:25:59,ul. Dworkowa,Warszawa,mazowieckie
65152568,3-pokojowe-mieszkanie-82m2-2-ogrodki-ID4pn9S,3-pokojowe mieszkanie 82m2 + 2 ogródki,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-82m2-2-ogrodki-ID4pn9S,1971000PLN,,24028PLN,82.03,THREE,2024-02-27 14:01:45,ul. Anny German,Warszawa,mazowieckie
65090150,apartament-2-pokojowy-klima-wola-ul-ostroroga-ID4p6W8,"Apartament, 2-pokojowy-Klima. Wola, ul. Ostroroga",https://www.otodom.pl/pl/ofertaapartament-2-pokojowy-klima-wola-ul-ostroroga-ID4p6W8,1100000PLN,700PLN,25581PLN,43,TWO,2024-02-11 09:24:33,ul. Jana Ostroroga,Warszawa,mazowieckie
65075924,2-pokojowe-mieszkanie-44m2-ogrodek-bezposrednio-ID4p3dG,2-pokojowe mieszkanie 44m2 + ogródek Bezpośrednio,https://www.otodom.pl/pl/oferta2-pokojowe-mieszkanie-44m2-ogrodek-bezposrednio-ID4p3dG,700412PLN,,15729PLN,44.53,TWO,2024-02-07 08:12:40,ul. Kazimierza Gierdziejewskiego,Warszawa,mazowieckie
65156432,3-pokojowe-mieszkanie-55m2-balkon-ID4poac,3-pokojowe mieszkanie 55m2 + balkon,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-55m2-balkon-ID4poac,,,,55.85,THREE,2024-02-28 11:17:00,ul. Oliwska,Warszawa,mazowieckie
65058408,4-pokojowe-mieszkanie-69m2-balkon-ID4oYFa,4-pokojowe mieszkanie 69m2 + balkon,https://www.otodom.pl/pl/oferta4-pokojowe-mieszkanie-69m2-balkon-ID4oYFa,1244400PLN,,17790PLN,69.95,FOUR,2024-02-02 08:42:22,Precyzyjna,Warszawa,mazowieckie
65092083,mieszkanie-46-35-m-warszawa-ID4p7qj,"Mieszkanie, 46,35 m², Warszawa",https://www.otodom.pl/pl/ofertamieszkanie-46-35-m-warszawa-ID4p7qj,760000PLN,560PLN,16397PLN,46.35,TWO,2024-02-12 06:45:06,ul. Rokosowska,Warszawa,mazowieckie
