_id,slug,title,link,total_price,rent_price,price_per_meter,meter_area,rooms,created_at,Street,City,Province
64959232,2-pokoje-1-pietro-ciche-bezposrednio-ID4oyRy,"2 pokoje, 1 piętro, ciche, BEZPOŚREDNIO",https://www.otodom.pl/pl/oferta2-pokoje-1-pietro-ciche-bezposrednio-ID4oyRy,775000PLN,900PLN,20946PLN,37,TWO,2024-01-05 21:08:48,ul. Jurija Gagarina,Warszawa,mazowieckie
64966096,kawalerka-tuz-przy-metrze-raclawicka-bezposrednio-ID4oAEg,Kawalerka tuż przy metrze Racławicka BEZPOŚREDNIO,https://www.otodom.pl/pl/ofertakawalerka-tuz-przy-metrze-raclawicka-bezposrednio-ID4oAEg,695000PLN,670PLN,24386PLN,28.5,ONE,2024-01-08 15:57:17,ul. Racławicka,Warszawa,mazowieckie
65051062,piekny-apartament-w-srodmiesciu-ID4oVKG,Piękny apartament w Śródmieściu,https://www.otodom.pl/pl/ofertapiekny-apartament-w-srodmiesciu-ID4oVKG,3923794.5PLN,1600PLN,35150PLN,111.63,THREE,2024-01-31 15:25:08,,Warszawa,mazowieckie
65021402,4-pokojowe-mieszkanie-76m2-balkon-bezposrednio-ID4oP2i,4-pokojowe mieszkanie 76m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta4-pokojowe-mieszkanie-76m2-balkon-bezposrednio-ID4oP2i,,,,76.75,FOUR,2024-01-23 12:50:17,ul. Jagiellońska,Warszawa,mazowieckie
64954531,4-pokojowe-mieszkanie-129m2-ogrodek-bez-prowizji-ID4oxDJ,4-pokojowe mieszkanie 129m2 + ogródek Bez Prowizji,https://www.otodom.pl/pl/oferta4-pokojowe-mieszkanie-129m2-ogrodek-bez-prowizji-ID4oxDJ,,,,129.4,FOUR,2024-01-04 15:57:46,ul. Aleksandra Kowalskiego,Warszawa,mazowieckie
65021142,3-pokojowe-mieszkanie-59m2-balkon-bezposrednio-ID4oOY6,3-pokojowe mieszkanie 59m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-59m2-balkon-bezposrednio-ID4oOY6,,,,59.52,THREE,2024-01-23 12:48:57,ul. Czarnomorska,Warszawa,mazowieckie
65027724,2-pokoje-po-remoncie-w-kamienicy-na-mokotowie-ID4oQGg,2 pokoje po remoncie w kamienicy na Mokotowie,https://www.otodom.pl/pl/oferta2-pokoje-po-remoncie-w-kamienicy-na-mokotowie-ID4oQGg,789000PLN,600PLN,15988PLN,49.35,TWO,2024-01-24 19:25:29,ul. Chełmska,Warszawa,mazowieckie
65021330,4-pokojowe-mieszkanie-79m2-balkon-bezposrednio-ID4oP18,4-pokojowe mieszkanie 79m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta4-pokojowe-mieszkanie-79m2-balkon-bezposrednio-ID4oP18,,,,79.54,FOUR,2024-01-23 12:49:58,ul. Jagiellońska,Warszawa,mazowieckie
65006746,wilanow-mieszkanie-z-ogrodkiem-bezposrednio-ID4oLdU,"Wilanów, mieszkanie z ogródkiem, bezpośrednio",https://www.otodom.pl/pl/ofertawilanow-mieszkanie-z-ogrodkiem-bezposrednio-ID4oLdU,830000PLN,780PLN,20750PLN,40,TWO,2024-01-19 00:40:35,ul. Franciszka Klimczaka,Warszawa,mazowieckie
65000113,mieszkanie-1-pok-38m2-wola-ul-kasprzaka-ID4oJuW,"Mieszkanie 1 pok. 38m2, Wola, ul. Kasprzaka",https://www.otodom.pl/pl/ofertamieszkanie-1-pok-38m2-wola-ul-kasprzaka-ID4oJuW,1040000PLN,450PLN,27175PLN,38.27,ONE,2024-01-17 13:13:10,ul. Marcina Kasprzaka,Warszawa,mazowieckie
