_id,slug,title,link,total_price,rent_price,price_per_meter,meter_area,rooms,created_at,Street,City,Province
64383573,2-pokojowe-mieszkanie-40m2-bez-prowizji-ID4m96J,2-pokojowe mieszkanie 40m2 Bez Prowizji,https://www.otodom.pl/pl/oferta2-pokojowe-mieszkanie-40m2-bez-prowizji-ID4m96J,,,,40.26,TWO,2023-07-04 09:56:06,ul. Konopacka,Warszawa,mazowieckie
64418060,mieszkanie-50-m2-3-pokoje-garaz-balkon-bialoleka-ID4mi4Y,Mieszkanie 50 m2/ 3 pokoje/garaż/balkon/Białołęka,https://www.otodom.pl/pl/ofertamieszkanie-50-m2-3-pokoje-garaz-balkon-bialoleka-ID4mi4Y,699000PLN,950PLN,13952PLN,50.1,THREE,2023-07-14 10:15:32,,Warszawa,mazowieckie
64461111,3-pokojowe-mieszkanie-59m2-loggia-ID4mthl,3-pokojowe mieszkanie 59m2 + loggia,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-59m2-loggia-ID4mthl,,,,59.79,THREE,2023-07-28 10:12:34,ul. Posag 7 Panien,Warszawa,mazowieckie
64461009,3-pokojowe-mieszkanie-61m2-balkon-bez-prowizji-ID4mtfH,3-pokojowe mieszkanie 61m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-61m2-balkon-bez-prowizji-ID4mtfH,,,,61.1,THREE,2023-07-28 10:11:27,ul. Posag 7 Panien,Warszawa,mazowieckie
64464518,3-pok-na-bialolece-eco-tarchomin-ID4muai,3 pok.na Białołęce ECO Tarchomin,https://www.otodom.pl/pl/oferta3-pok-na-bialolece-eco-tarchomin-ID4muai,735449PLN,,13900PLN,52.91,THREE,2023-07-29 12:51:04,ul. Aluzyjna,Warszawa,mazowieckie
64455572,przestronne-4-pokoje-bemowo-kredyt-ID4mrQ0,"Przestronne 4 pokoje Bemowo, kredyt",https://www.otodom.pl/pl/ofertaprzestronne-4-pokoje-bemowo-kredyt-ID4mrQ0,925000PLN,1150PLN,11505PLN,80.4,FOUR,2023-07-26 15:25:06,ul. Wrocławska,Warszawa,mazowieckie
64469021,wlasciciel-sprzedaje-84m2-szczesliwice-ID4mwkW,"Właściciel sprzedaje, 84m2, Szczęśliwice",https://www.otodom.pl/pl/ofertawlasciciel-sprzedaje-84m2-szczesliwice-ID4mwkW,1562000PLN,798PLN,18595PLN,84,THREE,2023-07-31 16:31:53,ul. Maszynowa,Warszawa,mazowieckie
64461105,3-pokojowe-mieszkanie-61m2-balkon-bez-prowizji-ID4mthf,3-pokojowe mieszkanie 61m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-61m2-balkon-bez-prowizji-ID4mthf,,,,61.84,THREE,2023-07-28 10:11:42,ul. Posag 7 Panien,Warszawa,mazowieckie
64461114,3-pokojowe-mieszkanie-60m2-balkon-bez-prowizji-ID4mtho,3-pokojowe mieszkanie 60m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-60m2-balkon-bez-prowizji-ID4mtho,,,,60.65,THREE,2023-07-28 10:12:36,ul. Posag 7 Panien,Warszawa,mazowieckie
64424207,2-pokojowe-mieszkanie-inwestycja-solen-kabaty-ID4mjG7,"2-pokojowe mieszkanie, inwestycja Solen Kabaty",https://www.otodom.pl/pl/oferta2-pokojowe-mieszkanie-inwestycja-solen-kabaty-ID4mjG7,1038900PLN,,18555PLN,55.99,TWO,2023-07-17 12:26:31,ul. Rybałtów,Warszawa,mazowieckie
