_id,slug,title,link,total_price,rent_price,price_per_meter,meter_area,rooms,created_at,Street,City,Province
64297747,4-pokojowe-mieszkanie-76m2-2-balkony-ID4lMMr,4-pokojowe mieszkanie 76m2 + 2 balkony,https://www.otodom.pl/pl/oferta4-pokojowe-mieszkanie-76m2-2-balkony-ID4lMMr,,,,76.11,FOUR,2023-06-06 15:46:39,ul. Herbu Oksza,Warszawa,mazowieckie
64321752,dworek-z-1860-r-po-rewitalizacji-ID4lT1C,Dworek z 1860 r. po rewitalizacji,https://www.otodom.pl/pl/ofertadworek-z-1860-r-po-rewitalizacji-ID4lT1C,1070000PLN,839PLN,15934PLN,67.15,FOUR,2023-06-14 16:45:08,ul. Radzymińska,Warszawa,mazowieckie
64308813,piekne-studio-z-ogrodkiem-na-saskiej-kepie-ID4lPEW,Piękne studio z ogródkiem na saskiej Kępie,https://www.otodom.pl/pl/ofertapiekne-studio-z-ogrodkiem-na-saskiej-kepie-ID4lPEW,1500000PLN,1200PLN,44910PLN,33.4,TWO,2023-06-11 08:20:39,ul. Londyńska,Warszawa,mazowieckie
64346866,kawalerka-21-m2-bliska-wola-lokal-dla-inwestora-ID4lZyG,Kawalerka 21 m2 bliska Wola - lokal dla inwestora,https://www.otodom.pl/pl/ofertakawalerka-21-m2-bliska-wola-lokal-dla-inwestora-ID4lZyG,589000PLN,406PLN,28048PLN,21,ONE,2023-06-22 14:22:08,ul. Dzielna,Warszawa,mazowieckie
64338716,4-pokojowe-mieszkanie-69m2-balkon-bezposrednio-ID4lXre,4-pokojowe mieszkanie 69m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta4-pokojowe-mieszkanie-69m2-balkon-bezposrednio-ID4lXre,,,,69.28,FOUR,2023-06-20 12:59:44,ul. Krzewna,Warszawa,mazowieckie
64338737,4-pokojowe-mieszkanie-59m2-balkon-bezposrednio-ID4lXrz,4-pokojowe mieszkanie 59m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta4-pokojowe-mieszkanie-59m2-balkon-bezposrednio-ID4lXrz,,,,59.73,FOUR,2023-06-20 12:59:51,ul. Krzewna,Warszawa,mazowieckie
64366964,loft-garden-wesola-etap-ii-78-99m2-apart-loft-ID4m4MQ,LOFT GARDEN Wesoła ETAP II 78-99m2 - apart. LOFT,https://www.otodom.pl/pl/ofertaloft-garden-wesola-etap-ii-78-99m2-apart-loft-ID4m4MQ,980750PLN,80PLN,12500PLN,78.46,FOUR,2023-06-28 13:46:02,,Warszawa,mazowieckie
64304848,mieszkanie-wwa-ursus-niedzwiadek-ul-orlat-lwowski-ID4lOCY,Mieszkanie Wwa Ursus Niedżwiadek ul. Orląt Lwowski,https://www.otodom.pl/pl/ofertamieszkanie-wwa-ursus-niedzwiadek-ul-orlat-lwowski-ID4lOCY,778245PLN,780PLN,13213PLN,58.9,FOUR,2023-06-08 20:29:31,ul. Orląt Lwowskich,Warszawa,mazowieckie
64337686,5-pokojowe-mieszkanie-121m2-2-balkony-ID4lXaC,5-pokojowe mieszkanie 121m2 + 2 balkony,https://www.otodom.pl/pl/oferta5-pokojowe-mieszkanie-121m2-2-balkony-ID4lXaC,,,,121.24,FIVE,2023-06-20 09:45:39,ul. Koprzywiańska,Warszawa,mazowieckie
64296006,mieszkanie-bemowo-lazurova-concept-bez-prowizji-ID4lMkm,"Mieszkanie Bemowo, Lazurova Concept BEZ PROWIZJI",https://www.otodom.pl/pl/ofertamieszkanie-bemowo-lazurova-concept-bez-prowizji-ID4lMkm,965000PLN,,16838PLN,57.31,THREE,2023-06-06 11:58:23,ul. Narwik,Warszawa,mazowieckie
