_id,slug,title,link,total_price,rent_price,price_per_meter,meter_area,rooms,created_at,Street,City,Province
64773264,4-pokojowe-mieszkanie-66m2-2-balkony-ID4nMu4,4-pokojowe mieszkanie 66m2 + 2 balkony,https://www.otodom.pl/pl/oferta4-pokojowe-mieszkanie-66m2-2-balkony-ID4nMu4,,,,66.25,FOUR,2023-11-03 11:18:23,ul. Pawła Włodkowica,Warszawa,mazowieckie
64854947,piekne-mieszkanie-na-osiedlu-przy-ul-stawki-6-ID4o7Jx,Piękne mieszkanie na osiedlu przy ul. Stawki 6,https://www.otodom.pl/pl/ofertapiekne-mieszkanie-na-osiedlu-przy-ul-stawki-6-ID4o7Jx,1430000PLN,800PLN,26000PLN,55,TWO,2023-11-28 13:04:46,,Warszawa,mazowieckie
64854780,apartament-przy-palcu-konstytucji-ulica-piekna-ID4o7GQ,Apartament przy Palcu Konstytucji/ulica Piękna,https://www.otodom.pl/pl/ofertaapartament-przy-palcu-konstytucji-ulica-piekna-ID4o7GQ,2416400PLN,1500PLN,28000PLN,86.3,THREE,2023-11-28 12:38:15,,Warszawa,mazowieckie
64785083,3-pokojowe-mieszkanie-58m2-ogrodek-bezposrednio-ID4nPyH,3-pokojowe mieszkanie 58m2 + ogródek Bezpośrednio,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-58m2-ogrodek-bezposrednio-ID4nPyH,742860PLN,,12644PLN,58.75,THREE,2023-11-07 13:24:48,ul. Marywilska,Warszawa,mazowieckie
64785193,3-pokojowe-mieszkanie-74m2-ogrodek-ID4nPAt,3-pokojowe mieszkanie 74m2 + ogródek,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-74m2-ogrodek-ID4nPAt,,,,74.5,THREE,2023-11-07 13:39:39,ul. Rembielińska,Warszawa,mazowieckie
64819825,chmielna-duo-mieszkanie-1-pok-b1-18-ID4nYB3,Chmielna Duo | mieszkanie 1-pok. | B1.18,https://www.otodom.pl/pl/ofertachmielna-duo-mieszkanie-1-pok-b1-18-ID4nYB3,,,,42.58,ONE,2023-11-17 09:45:20,ul. Chmielna,Warszawa,mazowieckie
64785128,2-pokojowe-mieszkanie-54m2-loggia-ID4nPzq,2-pokojowe mieszkanie 54m2 + loggia,https://www.otodom.pl/pl/oferta2-pokojowe-mieszkanie-54m2-loggia-ID4nPzq,695588PLN,,12719PLN,54.69,TWO,2023-11-07 13:25:03,ul. Marywilska,Warszawa,mazowieckie
64821585,5-pokojowe-mieszkanie-78m2-ogrodek-bezposrednio-ID4nZ3r,5-pokojowe mieszkanie 78m2 + ogródek Bezpośrednio,https://www.otodom.pl/pl/oferta5-pokojowe-mieszkanie-78m2-ogrodek-bezposrednio-ID4nZ3r,,,,78.2,FIVE,2023-11-17 14:59:04,ul. Celulozy,Warszawa,mazowieckie
64785106,3-pokojowe-mieszkanie-62m2-loggia-bez-prowizji-ID4nPz4,3-pokojowe mieszkanie 62m2 + loggia Bez Prowizji,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-62m2-loggia-bez-prowizji-ID4nPz4,766448PLN,,12220PLN,62.72,THREE,2023-11-07 13:24:56,ul. Marywilska,Warszawa,mazowieckie
64819811,chmielna-duo-mieszkanie-1-pok-a2-120-ID4nYAP,Chmielna Duo | mieszkanie 1-pok. | A2.120,https://www.otodom.pl/pl/ofertachmielna-duo-mieszkanie-1-pok-a2-120-ID4nYAP,,,,40.49,ONE,2023-11-17 09:45:18,ul. Chmielna,Warszawa,mazowieckie
64844942,2-pokojowe-mieszkanie-42m2-balkon-ID4o58a,2-pokojowe mieszkanie 42m2 + balkon,https://www.otodom.pl/pl/oferta2-pokojowe-mieszkanie-42m2-balkon-ID4o58a,,,,42.8,TWO,2023-11-24 14:53:17,ul. Herbu Oksza,Warszawa,mazowieckie
64827436,4-pokojowe-mieszkanie-82m2-balkon-bezposrednio-ID4o0zO,4-pokojowe mieszkanie 82m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta4-pokojowe-mieszkanie-82m2-balkon-bezposrednio-ID4o0zO,,,,82.55,FOUR,2023-11-20 12:29:03,ul. Kłobucka,Warszawa,mazowieckie
64819859,chmielna-duo-mieszkanie-1-pok-b1-55-ID4nYBB,Chmielna Duo | mieszkanie 1-pok. | B1.55,https://www.otodom.pl/pl/ofertachmielna-duo-mieszkanie-1-pok-b1-55-ID4nYBB,,,,44.14,ONE,2023-11-17 09:45:24,ul. Chmielna,Warszawa,mazowieckie
64822214,sloneczny-cichy-ekskluzywnie-wykonczony-apartament-ID4nZdA,Słoneczny cichy ekskluzywnie wykończony apartament,https://www.otodom.pl/pl/ofertasloneczny-cichy-ekskluzywnie-wykonczony-apartament-ID4nZdA,1595000PLN,800PLN,18418PLN,86.6,THREE,2023-11-17 16:52:23,ul. Jana Nowaka-Jeziorańskiego,Warszawa,mazowieckie
64819850,chmielna-duo-mieszkanie-1-pok-b1-35-ID4nYBs,Chmielna Duo | mieszkanie 1-pok. | B1.35,https://www.otodom.pl/pl/ofertachmielna-duo-mieszkanie-1-pok-b1-35-ID4nYBs,,,,33.76,ONE,2023-11-17 09:45:22,ul. Chmielna,Warszawa,mazowieckie
64821513,mieszkanie-3-pok-na-rakowcu-balkon-ID4nZ2h,Mieszkanie 3 pok. na Rakowcu| Balkon,https://www.otodom.pl/pl/ofertamieszkanie-3-pok-na-rakowcu-balkon-ID4nZ2h,848000PLN,700PLN,14204PLN,59.7,THREE,2023-11-17 14:45:45,ul. Żwirki i Wigury,Warszawa,mazowieckie
64774262,hit-2-pokoje-z-ogrodem-miasteczko-wilanow-garaz-ID4nMKa,"HIT! 2-pokoje z ogrodem, Miasteczko Wilanów +GARAŻ",https://www.otodom.pl/pl/ofertahit-2-pokoje-z-ogrodem-miasteczko-wilanow-garaz-ID4nMKa,620000PLN,600PLN,21754PLN,28.5,ONE,2023-11-03 14:16:31,Royal Residence,Warszawa,mazowieckie
64827539,2-pokojowe-mieszkanie-32m2-balkon-bez-prowizji-ID4o0Bt,2-pokojowe mieszkanie 32m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta2-pokojowe-mieszkanie-32m2-balkon-bez-prowizji-ID4o0Bt,,,,32.55,TWO,2023-11-20 12:30:20,ul. Kłobucka,Warszawa,mazowieckie
64844946,4-pokojowe-mieszkanie-82m2-balkon-ID4o58e,4-pokojowe mieszkanie 82m2 + balkon,https://www.otodom.pl/pl/oferta4-pokojowe-mieszkanie-82m2-balkon-ID4o58e,,,,82.44,FOUR,2023-11-24 14:53:18,ul. Herbu Oksza,Warszawa,mazowieckie
64819823,chmielna-duo-mieszkanie-1-pok-b1-13-ID4nYB1,Chmielna Duo | mieszkanie 1-pok. | B1.13,https://www.otodom.pl/pl/ofertachmielna-duo-mieszkanie-1-pok-b1-13-ID4nYB1,,,,43.92,ONE,2023-11-17 09:45:19,ul. Chmielna,Warszawa,mazowieckie
64845968,bezposrednio-wykonczony-apartament-84m2-ID4o5oI,BEZPOŚREDNIO – Wykończony Apartament 84m2,https://www.otodom.pl/pl/ofertabezposrednio-wykonczony-apartament-84m2-ID4o5oI,2100000PLN,,24849PLN,84.51,FOUR,2023-11-24 18:35:33,ul. Sarmacka,Warszawa,mazowieckie
64827483,3-pokojowe-mieszkanie-56m2-ogrodek-ID4o0Az,3-pokojowe mieszkanie 56m2 + ogródek,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-56m2-ogrodek-ID4o0Az,,,,56.17,THREE,2023-11-20 12:29:46,ul. Kłobucka,Warszawa,mazowieckie
64769468,osiedle-legnicka-mieszkanie-3-pok-c-m70-ID4nLuQ,Osiedle Legnicka | mieszkanie 3-pok. | C_M70,https://www.otodom.pl/pl/ofertaosiedle-legnicka-mieszkanie-3-pok-c-m70-ID4nLuQ,,,,55.07,THREE,2023-11-02 09:29:02,ul. Legnicka,Warszawa,mazowieckie
64844949,4-pokojowe-mieszkanie-82m2-loggia-ID4o58h,4-pokojowe mieszkanie 82m2 + loggia,https://www.otodom.pl/pl/oferta4-pokojowe-mieszkanie-82m2-loggia-ID4o58h,,,,82.48,FOUR,2023-11-24 14:53:19,ul. Herbu Oksza,Warszawa,mazowieckie
64862338,30m2-tarasu-i-balkonu-ostatnie-pietro-ciche-ID4o9EK,"✅ 30m2 tarasu i balkonu, ostatnie piętro, ciche",https://www.otodom.pl/pl/oferta30m2-tarasu-i-balkonu-ostatnie-pietro-ciche-ID4o9EK,722000PLN,,14989PLN,48.17,TWO,2023-11-30 11:38:25,,Warszawa,mazowieckie
64842089,super-mieszkanie-200m-do-stacji-m2-lazurowa-ID4o4o9,Super mieszkanie! 200m do stacji M2 Lazurowa!!!,https://www.otodom.pl/pl/ofertasuper-mieszkanie-200m-do-stacji-m2-lazurowa-ID4o4o9,960000PLN,900PLN,14480PLN,66.3,THREE,2023-11-23 17:41:17,ul. Górczewska,Warszawa,mazowieckie
64785192,3-pokojowe-mieszkanie-74m2-balkon-bez-prowizji-ID4nPAs,3-pokojowe mieszkanie 74m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-74m2-balkon-bez-prowizji-ID4nPAs,,,,74.5,THREE,2023-11-07 13:39:39,ul. Rembielińska,Warszawa,mazowieckie
64838345,przestronne-trzypokojowe-65-m2-ID4o3pL,"Przestronne, trzypokojowe, 65 m2!",https://www.otodom.pl/pl/ofertaprzestronne-trzypokojowe-65-m2-ID4o3pL,929000PLN,1300PLN,14183PLN,65.5,THREE,2023-11-22 18:43:59,ul. Astronautów,Warszawa,mazowieckie
64827437,4-pokojowe-mieszkanie-72m2-balkon-ID4o0zP,4-pokojowe mieszkanie 72m2 + balkon,https://www.otodom.pl/pl/oferta4-pokojowe-mieszkanie-72m2-balkon-ID4o0zP,,,,72.5,FOUR,2023-11-20 12:29:03,ul. Kłobucka,Warszawa,mazowieckie
64796083,piekne-mieszkanie-osiedle-ostoja-wilanow-ID4nSq7,Piękne mieszkanie Osiedle Ostoja Wilanów,https://www.otodom.pl/pl/ofertapiekne-mieszkanie-osiedle-ostoja-wilanow-ID4nSq7,1250000PLN,900PLN,20492PLN,61,THREE,2023-11-09 18:42:12,ul. Prymasa Augusta Hlonda,Warszawa,mazowieckie
64821084,mieszkanie-na-powislu-w-kamienicy-z-lat-50tych-ID4nYWm,Mieszkanie na Powiślu w kamienicy z lat 50tych,https://www.otodom.pl/pl/ofertamieszkanie-na-powislu-w-kamienicy-z-lat-50tych-ID4nYWm,1050000PLN,,20192PLN,52,TWO,2023-11-17 13:30:18,,Warszawa,mazowieckie
64798420,wyjatkowy-apartament-nieopodal-palacu-w-wilanowie-ID4nT1O,Wyjątkowy apartament nieopodal Pałacu w Wilanowie,https://www.otodom.pl/pl/ofertawyjatkowy-apartament-nieopodal-palacu-w-wilanowie-ID4nT1O,4900000PLN,,16333PLN,300,FIVE,2023-11-10 14:20:47,ul. Janczarów,Warszawa,mazowieckie
64791649,apartament-z-przepieknym-widokiem-na-zielen-ID4nRgB,Apartament z przepięknym widokiem na zieleń,https://www.otodom.pl/pl/ofertaapartament-z-przepieknym-widokiem-na-zielen-ID4nRgB,4700000PLN,,25003PLN,187.98,THREE,2023-11-09 08:20:23,ul. Ignacego Krasickiego,Warszawa,mazowieckie
64851993,kompaktowe-dwa-pokoje-oddanie-kwiecien-2025-ID4o6XT,Kompaktowe dwa pokoje | Oddanie kwiecien 2025 |,https://www.otodom.pl/pl/ofertakompaktowe-dwa-pokoje-oddanie-kwiecien-2025-ID4o6XT,599000PLN,400PLN,14968PLN,40.02,TWO,2023-11-27 15:14:13,ul. Herbu Oksza,Warszawa,mazowieckie
64816402,lokal-biurowo-mieszkalny-78-5-m2-warszawa-ochota-ID4nXHQ,"Lokal biurowo – mieszkalny 78,5 m2 Warszawa Ochota",https://www.otodom.pl/pl/ofertalokal-biurowo-mieszkalny-78-5-m2-warszawa-ochota-ID4nXHQ,1562200PLN,,19901PLN,78.5,THREE,2023-11-16 11:20:36,ul. Grójecka,Warszawa,mazowieckie
64858099,mieszkanie-3-pokojowe-66-10-m2-warszawa-wlochy-ID4o8yn,"Mieszkanie 3-pokojowe 66,10 m2, Warszawa Włochy",https://www.otodom.pl/pl/ofertamieszkanie-3-pokojowe-66-10-m2-warszawa-wlochy-ID4o8yn,799972PLN,,12102PLN,66.1,THREE,2023-11-29 10:29:34,ul. Bolesława Gidzińskiego,Warszawa,mazowieckie
64858543,mieszkanie-5-pokojowe-109-60-m2-warszawa-wlochy-ID4o8Fx,"Mieszkanie 5-pokojowe 109,60 m2, Warszawa, Włochy",https://www.otodom.pl/pl/ofertamieszkanie-5-pokojowe-109-60-m2-warszawa-wlochy-ID4o8Fx,1260122PLN,,11497PLN,109.6,FIVE,2023-11-29 12:02:51,ul. Bolesława Gidzińskiego,Warszawa,mazowieckie
64861376,mieszkanie-lm7-jasna-wschodnia-strona-ID4o9pe,"Mieszkanie LM7, jasna, wschodnia strona",https://www.otodom.pl/pl/ofertamieszkanie-lm7-jasna-wschodnia-strona-ID4o9pe,1022680PLN,9.5PLN,14800PLN,69.1,THREE,2023-11-29 21:45:48,ul. Solipska,Warszawa,mazowieckie
64774593,oferta-dla-inwestora-pakiet-2-mieszkan-na-wynajem-ID4nMPw,Oferta dla inwestora! Pakiet 2 mieszkań na wynajem,https://www.otodom.pl/pl/ofertaoferta-dla-inwestora-pakiet-2-mieszkan-na-wynajem-ID4nMPw,1314000PLN,600PLN,19612PLN,67,FOUR,2023-11-03 15:21:06,ul. Komputerowa,Warszawa,mazowieckie
64787383,2-pokoje-obok-metra-onz-ID4nQ9N,2 pokoje obok metra ONZ!,https://www.otodom.pl/pl/oferta2-pokoje-obok-metra-onz-ID4nQ9N,875000PLN,500PLN,22401PLN,39.06,TWO,2023-11-07 22:16:25,ul. Pańska,Warszawa,mazowieckie
64856470,mieszkanie-z-antresola-po-remoncie-ID4o886,Mieszkanie z antresolą po remoncie,https://www.otodom.pl/pl/ofertamieszkanie-z-antresola-po-remoncie-ID4o886,788000PLN,1PLN,17909PLN,44,THREE,2023-11-28 17:10:34,skwer Skwer Reduty Kaliskiej,Warszawa,mazowieckie
64803802,sprzedam-apartament-fort-pilsudskiego-ID4nUqC,Sprzedam Apartament Fort Piłsudskiego,https://www.otodom.pl/pl/ofertasprzedam-apartament-fort-pilsudskiego-ID4nUqC,15000000PLN,,44643PLN,336,FIVE,2023-11-13 10:59:35,ul. Fort Piłsudskiego,Warszawa,mazowieckie
64804100,3-pokojowe-mieszkanie-69m2-ogrodek-ID4nUwq,3-pokojowe mieszkanie 69m2 + ogródek,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-69m2-ogrodek-ID4nUwq,1131408PLN,,16200PLN,69.84,THREE,2023-11-13 11:59:34,ul. Jagiellońska,Warszawa,mazowieckie
