_id,slug,title,link,total_price,rent_price,price_per_meter,meter_area,rooms,created_at,Street,City,Province
64764644,2-pokojowe-mieszkanie-44m2-loggia-bez-prowizji-ID4nKf2,2-pokojowe mieszkanie 44m2 + loggia Bez Prowizji,https://www.otodom.pl/pl/oferta2-pokojowe-mieszkanie-44m2-loggia-bez-prowizji-ID4nKf2,719808PLN,,16300PLN,44.16,TWO,2023-10-31 09:12:41,ul. Jagiellońska,Warszawa,mazowieckie
64732884,4-pokojowe-mieszkanie-112m2-balkon-bezposrednio-ID4nBYM,4-pokojowe mieszkanie 112m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta4-pokojowe-mieszkanie-112m2-balkon-bezposrednio-ID4nBYM,2192295PLN,,19494PLN,112.46,FOUR,2023-10-20 13:38:09,ul. Aleksandra Gieysztora,Warszawa,mazowieckie
64732870,4-pokojowe-mieszkanie-113m2-balkon-bezposrednio-ID4nBYy,4-pokojowe mieszkanie 113m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta4-pokojowe-mieszkanie-113m2-balkon-bezposrednio-ID4nBYy,2004275PLN,,17620PLN,113.75,FOUR,2023-10-20 13:37:37,ul. Aleksandra Gieysztora,Warszawa,mazowieckie
64728557,2-pokojowe-mieszkanie-58m2-ogrodek-bez-prowizji-ID4nAQZ,2-pokojowe mieszkanie 58m2 + ogródek Bez Prowizji,https://www.otodom.pl/pl/oferta2-pokojowe-mieszkanie-58m2-ogrodek-bez-prowizji-ID4nAQZ,,,,58.88,TWO,2023-10-19 12:41:27,ul.Orkana,Warszawa,mazowieckie
64723668,4-pokojowe-mieszkanie-72m2-balkon-ID4nzA8,4-pokojowe mieszkanie 72m2 + balkon,https://www.otodom.pl/pl/oferta4-pokojowe-mieszkanie-72m2-balkon-ID4nzA8,,,,72.17,FOUR,2023-10-18 10:26:28,ul.Ostródzka,Warszawa,mazowieckie
64728959,bezczynszowy-segment-z-ogrodkiem-ID4nAXt,BEZCZYNSZOWY segment z ogródkiem,https://www.otodom.pl/pl/ofertabezczynszowy-segment-z-ogrodkiem-ID4nAXt,999000PLN,,8759PLN,114.05,FIVE,2023-10-19 13:42:42,ul. Czeremchowa,Warszawa,mazowieckie
64732883,3-pokojowe-mieszkanie-69m2-2-ogrodki-ID4nBYL,3-pokojowe mieszkanie 69m2 + 2 ogródki,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-69m2-2-ogrodki-ID4nBYL,1377516PLN,,19755PLN,69.73,THREE,2023-10-20 13:38:03,ul. Aleksandra Gieysztora,Warszawa,mazowieckie
64764622,3-pokojowe-mieszkanie-71m2-balkon-ID4nKeG,3-pokojowe mieszkanie 71m2 + balkon,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-71m2-balkon-ID4nKeG,1154736PLN,,16200PLN,71.28,THREE,2023-10-31 09:12:35,ul. Jagiellońska,Warszawa,mazowieckie
64728559,2-pokojowe-mieszkanie-57m2-balkon-bez-prowizji-ID4nAR1,2-pokojowe mieszkanie 57m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta2-pokojowe-mieszkanie-57m2-balkon-bez-prowizji-ID4nAR1,,,,57.47,TWO,2023-10-19 12:41:29,ul.Orkana,Warszawa,mazowieckie
64723679,3-pokojowe-mieszkanie-57m2-balkon-bez-prowizji-ID4nzAj,3-pokojowe mieszkanie 57m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta3-pokojowe-mieszkanie-57m2-balkon-bez-prowizji-ID4nzAj,,,,57.76,THREE,2023-10-18 10:26:32,ul.Ostródzka,Warszawa,mazowieckie
