_id,slug,title,link,total_price,rent_price,price_per_meter,meter_area,rooms,created_at,Street,City,Province
64657262,4-pokojowe-mieszkanie-w-kamienicy-ID4nij4,4 pokojowe mieszkanie w kamienicy,https://www.otodom.pl/pl/oferta4-pokojowe-mieszkanie-w-kamienicy-ID4nij4,2600000PLN,1200PLN,21878PLN,118.84,FIVE,2023-09-28 10:30:19,ul. Filtrowa,Warszawa,mazowieckie
64665093,sprzedam-mieszkanie-2-pokojowe-ul-bialej-floty-ID4nkln,sprzedam mieszkanie 2-pokojowe ul. Białej Floty,https://www.otodom.pl/pl/ofertasprzedam-mieszkanie-2-pokojowe-ul-bialej-floty-ID4nkln,1500000PLN,1020PLN,30000PLN,50,TWO,2023-09-30 11:13:26,,Warszawa,mazowieckie
64641982,ursynow-4-pok-126-7-m-kameralne-osiedle-ID4nekC,"Ursynów , 4 pok. 126,7 m kameralne osiedle",https://www.otodom.pl/pl/ofertaursynow-4-pok-126-7-m-kameralne-osiedle-ID4nekC,1699000PLN,1490.71PLN,13410PLN,126.7,FOUR,2023-09-24 12:50:23,ul. Jana Żabińskiego,Warszawa,mazowieckie
64613617,premium-sokratesa-3-pokoje-2-garaze-premium-box-ID4n6X7,"Premium Sokratesa, 3 Pokoje +2 Garaże Premium BOX",https://www.otodom.pl/pl/ofertapremium-sokratesa-3-pokoje-2-garaze-premium-box-ID4n6X7,1450000PLN,,16784PLN,86.39,THREE,2023-09-15 13:05:15,ul. Sokratesa,Warszawa,mazowieckie
64593618,3-pokoje-apartamentowiec-krolowej-marysienki-75m2-ID4n1Ky,3 pokoje apartamentowiec Królowej Marysieńki 75m2,https://www.otodom.pl/pl/oferta3-pokoje-apartamentowiec-krolowej-marysienki-75m2-ID4n1Ky,1000000PLN,750PLN,13333PLN,75,THREE,2023-09-09 18:47:15,ul. Królowej Marysieńki,Warszawa,mazowieckie
64640791,mieszkanie-2pok-51m2-ursus-ul-tomcia-palucha-ID4ne1p,"Mieszkanie 2pok 51m2, Ursus ul. Tomcia Palucha",https://www.otodom.pl/pl/ofertamieszkanie-2pok-51m2-ursus-ul-tomcia-palucha-ID4ne1p,880000PLN,900PLN,17134PLN,51.36,TWO,2023-09-23 15:05:21,ul. Tomcia Palucha,Warszawa,mazowieckie
64659796,mieszkanie-3-pok-67-m2-wola-ul-jana-kazimierza-ID4niXV,"Mieszkanie 3 pok, 67 m2, Wola ul. Jana Kazimierza",https://www.otodom.pl/pl/ofertamieszkanie-3-pok-67-m2-wola-ul-jana-kazimierza-ID4niXV,1400000PLN,600PLN,20628PLN,67.87,THREE,2023-09-28 17:23:19,ul. Jana Kazimierza,Warszawa,mazowieckie
64661386,okazja-inwestycyjna-centrum-kamienica-5pokoi-ID4njnA,Okazja inwestycyjna | centrum | kamienica | 5pokoi,https://www.otodom.pl/pl/ofertaokazja-inwestycyjna-centrum-kamienica-5pokoi-ID4njnA,2490000PLN,1160PLN,21386PLN,116.43,FIVE,2023-09-29 09:44:49,al. Aleje Jerozolimskie,Warszawa,mazowieckie
64642817,mieszkanie-2-pokojowe-przy-starym-miescie-ID4ney5,"Mieszkanie 2 pokojowe, przy Starym Mieście.",https://www.otodom.pl/pl/ofertamieszkanie-2-pokojowe-przy-starym-miescie-ID4ney5,999000PLN,,19837PLN,50.36,TWO,2023-09-24 20:35:06,ul. Świętojerska,Warszawa,mazowieckie
64596257,stary-mokotow-ciche-gotowe-do-wprowadzenia-sie-ID4n2r7,"Stary Mokotów, ciche, gotowe do wprowadzenia się!",https://www.otodom.pl/pl/ofertastary-mokotow-ciche-gotowe-do-wprowadzenia-sie-ID4n2r7,1100000PLN,780PLN,21355PLN,51.51,TWO,2023-09-11 11:04:17,ul. Michała Bałuckiego,Warszawa,mazowieckie
